seq1_id,seq2_id,tm_score
cath|4_4_0|1b5tA00,cath|4_4_0|1ad1A00,0.554800
cath|4_4_0|1b5tA00,cath|4_4_0|1aw5A00,0.544600
cath|4_4_0|1b5tA00,cath|4_4_0|1ah3A00,0.536000
cath|4_4_0|1b5tA00,cath|4_4_0|1ah0A00,0.504300
cath|4_4_0|1b5tA00,cath|4_4_0|1b4kB00,0.573800
cath|4_4_0|1b5tA00,cath|4_4_0|1b4eA00,0.511700
cath|4_4_0|1b5tA00,cath|4_4_0|1a5aA00,0.504600
cath|4_4_0|1b5tA00,cath|4_4_0|1ah4A00,0.500600
cath|4_4_0|1b5tA00,cath|4_4_0|1adsA00,0.507100
cath|4_4_0|1b5tA00,cath|4_4_0|1az1A00,0.468800
cath|4_4_0|1b5tA00,cath|4_4_0|1afsA00,0.550400
cath|4_4_0|1b5tA00,cath|4_4_0|1aw2A00,0.470100
cath|4_4_0|1b5tA00,cath|4_4_0|1a53A00,0.534100
cath|4_4_0|1b5tA00,cath|4_4_0|1b3oB00,0.658100
cath|4_4_0|1b5tA00,cath|4_4_0|1adoA00,0.423700
cath|4_4_0|1b5tA00,cath|4_4_0|1a0cA00,0.365900
cath|4_4_0|1b5tA00,cath|4_4_0|1a0eA00,0.353800
cath|4_4_0|1b5tA00,cath|4_4_0|1a80A00,0.354100
cath|4_4_0|1b5tA00,cath|4_4_0|1a49A01,0.297900
cath|4_4_0|1b5tA00,cath|4_4_0|1aa1L02,0.457400
cath|4_4_0|1b5tA00,cath|4_4_0|1aa1H02,0.457400
cath|4_4_0|1b5tA00,cath|4_4_0|1aa1E02,0.457400
cath|4_4_0|1b5tA00,cath|4_4_0|1aa1B02,0.457400
cath|4_4_0|1b5tA00,cath|4_4_0|1ae1A00,0.283100
cath|4_4_0|1b5tA00,cath|4_4_0|1ak5A00,0.413200
cath|4_4_0|1b5tA00,cath|4_4_0|1a3wA02,0.278000
cath|4_4_0|1b5tA00,cath|4_4_0|1a3wA01,0.278000
cath|4_4_0|1b5tA00,cath|4_4_0|1a0dA00,0.354800
cath|4_4_0|1b5tA00,cath|4_4_0|1a3wB03,0.267400
cath|4_4_0|133lA00,cath|4_4_0|1b5zA00,1.003000
cath|4_4_0|133lA00,cath|4_4_0|1b5wA00,1.005000
cath|4_4_0|133lA00,cath|4_4_0|1b5uA00,1.006000
cath|4_4_0|133lA00,cath|4_4_0|134lA00,1.001000
cath|4_4_0|133lA00,cath|4_4_0|1b5vA00,1.006000
cath|4_4_0|133lA00,cath|4_4_0|1b5yA00,1.005000
cath|4_4_0|133lA00,cath|4_4_0|1b7lA00,1.004000
cath|4_4_0|133lA00,cath|4_4_0|1b7mA00,1.001000
cath|4_4_0|133lA00,cath|4_4_0|1b5xA00,1.002000
cath|4_4_0|133lA00,cath|4_4_0|132lA00,0.985100
cath|4_4_0|133lA00,cath|4_4_0|1at6A00,0.987100
cath|4_4_0|133lA00,cath|4_4_0|1at5A00,0.986200
cath|4_4_0|133lA00,cath|4_4_0|1a2yC00,0.971500
cath|4_4_0|133lA00,cath|4_4_0|1alcA00,0.934900
cath|4_4_0|199lA00,cath|4_4_0|198lA00,1.005000
cath|4_4_0|199lA00,cath|4_4_0|143lA00,1.005000
cath|4_4_0|199lA00,cath|4_4_0|125lA00,1.005000
cath|4_4_0|199lA00,cath|4_4_0|195lA00,1.004000
cath|4_4_0|199lA00,cath|4_4_0|114lA00,1.005000
cath|4_4_0|199lA00,cath|4_4_0|146lA00,1.003000
cath|4_4_0|199lA00,cath|4_4_0|162lA00,1.005000
cath|4_4_0|199lA00,cath|4_4_0|141lA00,1.005000
cath|4_4_0|199lA00,cath|4_4_0|139lA00,1.004000
cath|4_4_0|199lA00,cath|4_4_0|159lA00,1.005000
cath|4_4_0|199lA00,cath|4_4_0|120lA00,1.004000
cath|4_4_0|199lA00,cath|4_4_0|115lA00,1.005000
cath|4_4_0|199lA00,cath|4_4_0|196lA00,1.003000
cath|4_4_0|199lA00,cath|4_4_0|142lA00,1.005000
cath|4_4_0|199lA00,cath|4_4_0|147lA00,1.004000
cath|4_4_0|199lA00,cath|4_4_0|111lA00,1.005000
cath|4_4_0|199lA00,cath|4_4_0|144lA00,1.003000
cath|4_4_0|199lA00,cath|4_4_0|108lA00,1.005000
cath|4_4_0|199lA00,cath|4_4_0|122lA00,1.005000
cath|4_4_0|199lA00,cath|4_4_0|118lA00,1.005000
cath|4_4_0|199lA00,cath|4_4_0|140lA00,1.005000
cath|4_4_0|199lA00,cath|4_4_0|130lA00,1.004000
cath|4_4_0|199lA00,cath|4_4_0|163lA00,1.005000
cath|4_4_0|199lA00,cath|4_4_0|127lA00,1.004000
cath|4_4_0|199lA00,cath|4_4_0|126lA00,1.005000
cath|4_4_0|199lA00,cath|4_4_0|123lA00,1.005000
cath|4_4_0|199lA00,cath|4_4_0|164lA00,1.005000
cath|4_4_0|199lA00,cath|4_4_0|110lA00,1.005000
cath|4_4_0|199lA00,cath|4_4_0|1b6iA00,1.004000
cath|4_4_0|199lA00,cath|4_4_0|128lA00,1.004000
